================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 33, iters: 164, time: 0.125, data: 0.001) D_A: 0.265 G_A: 0.946 cycle_A: 1.147 idt_A: 0.680 D_B: 0.090 G_B: 0.521 cycle_B: 2.067 idt_B: 0.458 
(epoch: 34, iters: 66, time: 0.125, data: 0.001) D_A: 0.282 G_A: 0.107 cycle_A: 1.309 idt_A: 0.502 D_B: 0.123 G_B: 0.907 cycle_B: 1.186 idt_B: 0.525 
(epoch: 34, iters: 166, time: 0.125, data: 0.001) D_A: 0.160 G_A: 0.238 cycle_A: 1.262 idt_A: 0.511 D_B: 0.192 G_B: 0.247 cycle_B: 1.194 idt_B: 0.576 
(epoch: 35, iters: 68, time: 0.473, data: 0.001) D_A: 0.301 G_A: 0.461 cycle_A: 2.559 idt_A: 1.023 D_B: 0.132 G_B: 0.357 cycle_B: 1.803 idt_B: 1.306 
(epoch: 35, iters: 168, time: 0.125, data: 0.001) D_A: 0.093 G_A: 1.135 cycle_A: 0.737 idt_A: 1.302 D_B: 0.297 G_B: 0.721 cycle_B: 3.572 idt_B: 0.318 
(epoch: 36, iters: 70, time: 0.125, data: 0.001) D_A: 0.212 G_A: 0.140 cycle_A: 2.533 idt_A: 0.278 D_B: 0.178 G_B: 0.619 cycle_B: 0.778 idt_B: 1.338 
(epoch: 36, iters: 170, time: 0.125, data: 0.001) D_A: 0.223 G_A: 0.290 cycle_A: 1.118 idt_A: 0.367 D_B: 0.155 G_B: 0.218 cycle_B: 0.777 idt_B: 0.539 
(epoch: 37, iters: 72, time: 0.553, data: 0.001) D_A: 0.268 G_A: 0.294 cycle_A: 1.391 idt_A: 0.482 D_B: 0.502 G_B: 0.202 cycle_B: 1.172 idt_B: 0.732 
(epoch: 37, iters: 172, time: 0.125, data: 0.001) D_A: 0.206 G_A: 0.529 cycle_A: 0.704 idt_A: 0.283 D_B: 0.312 G_B: 0.505 cycle_B: 0.977 idt_B: 0.297 
(epoch: 38, iters: 74, time: 0.125, data: 0.001) D_A: 0.185 G_A: 0.331 cycle_A: 1.182 idt_A: 0.349 D_B: 0.420 G_B: 0.280 cycle_B: 0.873 idt_B: 0.498 
(epoch: 38, iters: 174, time: 0.125, data: 0.001) D_A: 0.382 G_A: 0.254 cycle_A: 0.740 idt_A: 0.691 D_B: 0.213 G_B: 0.316 cycle_B: 1.478 idt_B: 0.312 
(epoch: 39, iters: 76, time: 0.495, data: 0.001) D_A: 0.217 G_A: 0.286 cycle_A: 1.036 idt_A: 0.458 D_B: 0.196 G_B: 0.513 cycle_B: 1.078 idt_B: 0.261 
(epoch: 39, iters: 176, time: 0.125, data: 0.001) D_A: 0.328 G_A: 0.312 cycle_A: 1.604 idt_A: 0.446 D_B: 0.321 G_B: 0.263 cycle_B: 1.072 idt_B: 0.874 
(epoch: 40, iters: 78, time: 0.125, data: 0.001) D_A: 0.308 G_A: 0.426 cycle_A: 0.828 idt_A: 0.327 D_B: 0.325 G_B: 0.337 cycle_B: 0.684 idt_B: 0.439 
(epoch: 40, iters: 178, time: 0.125, data: 0.001) D_A: 0.185 G_A: 0.400 cycle_A: 0.682 idt_A: 0.701 D_B: 0.264 G_B: 0.212 cycle_B: 1.009 idt_B: 0.395 
(epoch: 41, iters: 80, time: 0.476, data: 0.001) D_A: 0.206 G_A: 0.420 cycle_A: 0.533 idt_A: 0.424 D_B: 0.226 G_B: 0.393 cycle_B: 1.169 idt_B: 0.347 
(epoch: 41, iters: 180, time: 0.125, data: 0.001) D_A: 0.138 G_A: 0.298 cycle_A: 1.045 idt_A: 0.587 D_B: 0.312 G_B: 0.964 cycle_B: 1.423 idt_B: 0.398 
